@RELATION student_performance

@ATTRIBUTE study_hours_per_day NUMERIC
@ATTRIBUTE attendance_rate NUMERIC
@ATTRIBUTE assignment_avg NUMERIC
@ATTRIBUTE internet_hours_per_day NUMERIC
@ATTRIBUTE sleep_hours_per_day NUMERIC
@ATTRIBUTE exam_score NUMERIC

@DATA
2.21,89.82,87.32,4.17,8.44,54.48
5.22,82.77,79.75,3.77,4.53,62.4
6.03,92.14,81.41,4.64,6.2,74.02
3.89,89.73,95.33,1.84,7.58,68.02
5.51,84.27,72.9,3.82,6.8,75.76
4.54,76.53,86.57,4.27,7.37,50.5
3.03,69.85,77.57,0.89,6.4,61.14
4.54,80.53,77.39,1.58,7.09,72.35
6.31,93.56,93.19,0.55,6.84,72.69
3.95,87.14,89.9,2.68,8.17,65.46
6.35,72.54,89.76,3.86,7.25,70.76
0.07,86.73,95.67,4.8,7.34,40.0
5.23,88.85,80.25,3.09,6.59,66.55
4.13,76.16,88.18,4.95,6.51,54.85
3.55,86.54,76.28,1.34,6.57,71.38
4.14,85.58,83.89,0.96,7.39,72.59
1.02,73.57,78.44,2.93,6.58,50.95
3.67,88.58,81.16,3.46,7.29,66.45
4.54,90.61,87.14,2.96,9.08,65.35
6.22,95.83,70.18,0.52,7.87,76.92
3.22,95.54,100.0,2.89,6.67,69.09
2.79,71.22,67.93,1.43,8.2,47.62
3.25,75.62,65.43,3.8,6.59,56.28
5.37,90.15,93.9,3.44,4.96,71.33
4.49,90.14,89.5,1.87,5.99,68.08
3.21,90.15,87.49,2.38,5.13,65.37
4.77,100.0,87.54,1.73,6.65,76.82
4.15,90.71,79.85,2.92,7.02,64.21
5.45,96.36,69.23,4.15,8.68,77.78
2.95,94.54,80.91,1.82,7.33,57.55
3.51,91.51,71.87,3.6,6.78,63.55
3.41,81.85,91.7,2.36,7.83,66.35
1.8,92.59,78.24,2.05,4.79,52.27
4.44,77.27,70.09,2.87,7.24,63.39
4.39,82.63,76.14,1.76,7.77,59.83
4.01,80.15,84.96,2.34,5.52,67.31
3.65,85.82,73.24,1.56,8.14,62.35
1.88,100.0,70.13,5.36,7.34,50.24
3.37,66.33,82.92,3.04,6.58,60.19
3.49,91.86,82.94,2.16,7.63,61.57
2.8,68.87,73.92,3.26,9.27,45.89
3.76,80.28,74.35,2.87,7.18,52.27
4.61,95.89,82.78,2.73,7.25,73.9
6.83,85.64,62.62,3.74,6.54,66.71
4.26,74.22,63.11,3.91,6.15,65.2
4.39,77.85,71.38,2.36,7.83,52.58
3.89,91.8,77.44,2.31,6.14,73.09
1.12,77.7,83.73,2.67,7.07,49.17
3.96,87.16,97.7,0.24,6.52,69.94
4.09,85.46,90.29,1.18,7.48,65.99
7.69,78.48,78.08,4.64,7.33,79.93
3.71,100.0,79.77,4.97,8.04,64.78
4.45,91.34,67.97,2.7,6.49,70.72
3.95,64.75,79.78,3.69,6.73,56.64
2.25,86.86,76.54,3.37,6.02,54.12
5.71,78.38,83.87,6.69,6.56,64.25
5.13,93.52,70.07,4.34,7.38,68.12
